"X","nama","area","addresses","deskripsi","rating","rating_teks","jml_ulasan","harga_idr","link","lon","lat","geoAddress"
1,"Dafam Fortuna Seturan Yogyakarta","Sleman 
 
 
 ","Jl. Seturan Raya, Sleman, Yogyakarta","Dafam Fortuna Seturan Yogyakarta adalah sebuah pilihan yang sempurna untuk menginap yang membuat anda merasa nyaman untuk tinggal karena letaknya strategis di Yogyakarta, dekat dengan pusat belanja, perkantoran, hiburan dan menawarkan pengalaman yang tak terlupakan dengan desain interior yang nyaman dan modern. Penginapan ini cocok bagi Anda yang ingin berbisnis dan berlibur",8.2,"Luar Biasa",191,640496,"https://www.pegipegi.com/hotel/jogja/hotel_dafam_fortuna_seturan_925021/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4104487,-7.7669647,"jl. seturan raya, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
2,"Victory Guesthouse","Sleman 
 
 
 ","Jl. Raya Kledokan No. 11, Senturan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia","Victory Guesthouse sebuah hunian yang berlokasi di Sleman, Yogyakarta. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda.",9.2,"Istimewa",15,256198,"https://www.pegipegi.com/hotel/jogja/victory_guest_house_jogja_977567/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
3,"The Edelweiss Hotel Yogyakarta","Gejayan 
 
 
 ","Jl. Gejayan No.17C, Yogyakarta","Hotel Edelweiss Yogyakarta berdiri di Yogyakarta, dekat dengan lingkungan Universitas dan kawasan perbelanjaan di sepanjang jalan-jalan yang ramai di Jalan Gejayan. Tersedia 95 kamar yang modern dan minimalis untuk memperbaharui pengalaman Anda. dilengkapi dengan akses internet berkecepatan tinggi dan kasur berkualitas disediakan untuk para orang-orang yang suka berpergian dan mencari kenyamanan.",8.3,"Luar Biasa",391,729752,"https://www.pegipegi.com/hotel/jogja/edelweiss_hotel_jogja_936414/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3879696,-7.7802164,"jl. affandi no.17c, gondokusuman, kota yogyakarta, daerah istimewa yogyakarta 55222, indonesia"
4,"Grand Inna Malioboro","Malioboro 
 
 
 ","Jl. Malioboro No.60, Suryatmajan, Danurejan, Yogyakarta","Grand Inna Malioboro terletak di jalan Malioboro, jalan paling terkenal dan ramai di Yogyakarta.  Properti legendaris ini bagian integral dari Yogyakarta sejak tahun 1908. 223 kamar dengan berbagai akomodasi disediakan di hotel ini. Grand Inna Malioboro juga memiliki fasilitas lainnya untuk memenuhi semua kebutuhan Anda seperti 17 ruang pertemuan, Kolam Renang, pijat dan spa, dan banyak lagi.",8.7,"Luar Biasa",73,1811900,"https://www.pegipegi.com/hotel/jogja/grand_inna_malioboro_927168/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3660767,-7.7932796,"jl. malioboro no.60, suryatmajan, danurejan, kota yogyakarta, daerah istimewa yogyakarta 55213, indonesia"
5,"Indoluxe Hotel Yogyakarta","Jogja 
 
 
 ","Jl Palagan Tentara Pelajar No 106 Yogyakarta","Indoluxe Hotel Yogyakarta adalah hotel bisnis baru dibangun. Atmosfir yang hangat dimana lingkungan yang modern dan fasilitas menyugguhkan akomodasi yang menyenangkan untuk setiap orang yang mencari kedamaian setelah menempuh perjalanan panjang dan hari kerja yang sibuk.",9,"Luar Biasa",107,1642975,"https://www.pegipegi.com/hotel/jogja/indoluxe_hotel_yogyakarta_955168/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3728186,-7.750414,"jl. palagan tentara pelajar no.106, sariharjo, ngaglik, kabupaten sleman, daerah istimewa yogyakarta 55581, indonesia"
6,"Hotel Melia Purosani","Malioboro 
 
 
 ","Jl. Suryotomo No.31, Yogyakarta, Indonesia","Dibangun di sebuah kota yang kaya dengan tradisi Jawa, Melia Purosani berdiri sebagai sebuah oase bintang lima. Hotel ini memiliki taman dan laguna, sehingga tercipta sebuah surga di jantung kota. Hotel ini hanya beberapa menit jalan kaki dari tempat-tempat wisata terkenal seperti area perbelanjaan Malioboro, Keraton dan satu jam dari Candi Borobudur.",9.7,"Istimewa",22,864876,"https://www.pegipegi.com/hotel/jogja/hotel_melia_purosani_jogja_920390/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
7,"The Westlake Resort Yogya","Sleman 
 
 
 ","Jl. Ring Road Barat, Bedog, Trihanggo, Sleman, Yogyakarta, Indonesia","The Westlake Resort merupakan resort unik, luas dan mewah dengan suasana yang tenang, damai serta nyaman. Lokasi yang strategis di kota, tepat di sudut barat Yogyakarta akan memudahkan anda menemukannya. Resort dan Resto yang di padupadankan akan menjadi daya tarik anda untuk menginap dan berlibur.",9.1,"Istimewa",53,909090,"https://www.pegipegi.com/hotel/jogja/the_westlake_resort_yogyakarta_947578/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.337578,-7.747496,"jalan ringroad barat, bedog, trihanggo, gamping, kabupaten sleman, daerah istimewa yogyakarta 55291, indonesia"
8,"GAIA Cosmo Hotel","Timoho 
 
 
 ","Jl. Ipda Tut Harsono Timoho No. 16, Yogyakarta, Indonesia","Terletak di kawasan Timoho, Jl. Jl. Ipda Tut Harsono 16, Yogyakarta.Kami menawarkan 179, 9 Rapat luar biasa Kamar, Kolam Renang, Semeja Asia dapur, Inspira Roasters Artisan kopi, bersantai dan Naicla Skybar Lounge.Our Semeja Asia Kitchen menyajikan kelezatan hidangan lokal makanan pokok.",9.3,"Istimewa",54,650000,"https://www.pegipegi.com/hotel/jogja/gaia_cosmo_hotel_jogja_968760/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3926935,-7.7989698,"jl. ipda tut harsono no.16, muja muju, umbulharjo, kota yogyakarta, daerah istimewa yogyakarta 55165, indonesia"
9,"Hotel New Saphir Yogyakarta","Gejayan 
 
 
 ","Jl. Laksda Adisucipto No.38, Yogyakarta","Hotel Saphir Yogyakarta adalah hotel bintang empat dengan 206 kamar dan suite serta dengan 14 restoran multifungsi, lounge, kolam renang outdoor, fitness, toko kerajinan dan batik. Nikmati akses internet gratis kami melalui jaringan Wi-Fi yang akan memungkinkan para tamu untuk tetap terkoneksi dengan browsing tak terbatas di lobi, kedai kopi, dan Mirah lounge.",8.8,"Luar Biasa",71,1289256,"https://www.pegipegi.com/hotel/jogja/hotel_new_saphir_yogyakarta_922334/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
10,"Adhisthana Hotel","Prawirotaman 
 
 
 ","Jl. Prawirotaman II No.613, Mergangsan, Yogyakarta, Indonesia","Terletak di daerah Prawirotaman, lingkungan yang santai berada di bagian selatan Yogyakarta. Kawasan yang ramai dipenuhi dengan restoran, toko roti, serta toko-toko lainnya. Hotel yang dirancang dipengaruhi gaya cina dan eropa yang memberikan pengalaman tak terlupakan bagi para tamu. Hanya beberapa menit dari Royal Palace Yogyakarta.",8.9,"Luar Biasa",101,157024,"https://www.pegipegi.com/hotel/jogja/adhisthana_hotel_jogja_921736/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
11,"INNSIDE by Melia Yogyakarta","Sleman 
 
 
 ","Jl. Ringroad Utara, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia","Terletak sempurna di kawasan Sleman yang populer dan bergaya dengan akses mudah ke bandara, INNSIDE by Melia Yogyakarta mengundang Anda untuk bersantai di atas atap bangunannya yang spektakuler dengan kolam renang dan pemandangan gunung berapi Merapi.",8.8,"Luar Biasa",14,1326446,"https://www.pegipegi.com/hotel/jogja/innside_by_melia_yogyakarta_931370/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4306044,-7.7742863,"jl. ringroad utara, maguwoharjo, kec. depok, kabupaten sleman, daerah istimewa yogyakarta, indonesia"
12,"Grand Ambarrukmo","Depok 
 
 
 ","Jl. Adisucipto No. 82, Yogyakarta, Indonesia","Sebuah hunian yang nyaman, bersih, dan desain yang minimalis. Grand Ambarrukmo menawarkan pelayanan yang istimewa dan fasilitas yang akan membuat pengalaman menginap Anda tidak terlupakan, seperti Wi-Fi gratis di semua kamar, TV, AC, layanan kebersihan, resepsionis yang ramah, Wi-fi di tempat umum, serta beberapa fasilitas yang lainnya.",9.6,"Istimewa",21,2544628,"https://www.pegipegi.com/hotel/jogja/grand_ambarrukmo_985344/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4005488,-7.7835759,"jl. laksda adisucipto no.82, caturtunggal, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
13,"Grand Dafam Rohan Jogja (DHM Syariah)","Banguntapan 
 
 
 ","Jl. Janti-Gedong Kuning No 336, Banguntapan, Bantul, Yogyakarta, Indonesia","Grand Dafam Rohan Jogja hanya menerima pasangan suami-istri, dengan sertifikat pernikahan yang telah terbukti. Hotel ini menawarkan total 188 kamar, termasuk Kamar Deluxe, Kamar Eksekutif, Kamar Keluarga, Junior Suites, Honeymoon Suites, dan Grand Rohan Suite.",9,"Luar Biasa",17,650826,"https://www.pegipegi.com/hotel/jogja/grand_dafam_rohan_jogja_dhm_syariah_909826/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4039962,-7.7982652,"jl. janti gedongkuning no.336, banguntapan, bantul, daerah istimewa yogyakarta 55198, indonesia"
14,"de Laxston Hotel Yogyakarta","Jogja 
 
 
 ","Jl. Urip Sumaharjo No. 139 A, Gondokusuman, Yogyakarta, Indonesia","de Laxston Hotel Yogyakarta is an inn that its strategic location in the city of Yogyakarta, which offers close access to government offices, several banks and entertainment, suitable for business and leisure. Enjoy privileged service and superior facilities will make your stay an unforgettable experience. A safe and clean environment adds to the appeal of this inn",8.6,"Luar Biasa",138,7025206,"https://www.pegipegi.com/hotel/jogja/de_laxston_hotel__yogyakarta_995640/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
15,"Neo+ Awana Yogyakarta","Jogja 
 
 
 ","Jl. Mayjend Sutoyo No.52, Yogyakarta, Jawa Tengah, Indonesia","Terletak di Yogyakarta, Grup Archipelago International mempersembahkan Neo + Awana Yogyakarta, hotel baru dan strategis dengan layanan pilihan untuk pebisnis dan wisatawan budget yang menginginkan gaya dan manfaat terbaik dengan biaya terjangkau. Sekarang Anda dapat menikmati akomodasi modern dan berkualitas ciri khas NEO Hotel di Yogyakarta.",9.2,"Istimewa",152,703000,"https://www.pegipegi.com/hotel/jogja/neo__awana_yogyakarta_908565/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
16,"The Atrium Hotel & Resort Yogyakarta","Sleman 
 
 
 ","Jl. Kebon Agung No. 20, Sendangadi, Mlati, Sleman, Indonesia","Terletak di Sleman, Yogyakarta, The Atrium Hotel & Resort Yogyakarta menyediakan pelayanan yang ramah dan fasilitas modern. Kami menjamin masa menginap yang menyenangkan bagi para tamu dengan layanan kami yang personal dan berbagai macam fasilitas modern yang tersedia di hotel kami. Dari Adi Sutjipto, The Atrium Hotel and Resort Yogyakarta dapat dicapai dalam waktu sekitar 20 menit berkendara.",8.8,"Luar Biasa",30,991736,"https://www.pegipegi.com/hotel/jogja/the_atrium_hotel_and_resort_yogyakarta_961796/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3595277,-7.7470999,"jl. kb. agung no.20, sendangadi, mlati, kabupaten sleman, daerah istimewa yogyakarta 55285, indonesia"
17,"Swiss-Belhotel Yogyakarta","Jogja 
 
 
 ","Jl. Jend. Sudirman No.69, Yogyakarta, Indonesia","Swiss-Belboutique Yogyakarta menawarkan lokasi yang unik, daya tarik kontemporer yang unik untuk tamu bisnis dan liburan, serta suasana yang mewah serta elegan, belum lagi layanan personalisasi kelas dunia. Hotel terletak di pusat kota dengan akses mudah, hanya 15 menit berkendara ke kawasan perbelanjaan Malioboro dan 20 menit berkendara dari Bandara Internasional Adisutjipto.",9.9,"Istimewa",25,2008264,"https://www.pegipegi.com/hotel/jogja/swissbelhotel_yogyakarta_948368/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.374266,-7.7829532,"jl. jend. sudirman no.69, kotabaru, gondokusuman, kota yogyakarta, daerah istimewa yogyakarta 55224, indonesia"
18,"Citihub Hotel @ Gejayan Jogjakarta","Jogja 
 
 
 ","JL Affandi No.8 B, Gejayan, Daerah Istimewa Yogyakarta 55281, Indonesia","Citihub Group mempersembahkan sebuah hotel yang nyaman di Yogyakarta. Dengan ciri khas setiap hotel Citihub, kami menyediakan segala kebutuhan Anda selama tinggal di hotel. Tersedianya mini market dan lain-lain. Semua kamar di Hotel Citihub selalu disediakan dengan fasilitas berkualitas.",8,"Sangat Baik",68,464876,"https://www.pegipegi.com/hotel/jogja/citihub_hotel_jogja_979880/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3948613,-7.7595738,"jl. affandi, caturtunggal, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
19,"Royal Darmo Malioboro Hotel","Malioboro 
 
 
 ","Jl. Kemetiran Kidul No. 54, Gedong Tengen, Yogyakarta, Indonesia","Hotel bintang 4 dengan desain unik yang dekat dengan pusat pemerintahan dan terletak dengan fasilitas yang baik da kualitas layanan yang memuaskan dengan layanan resepsionis 24 jam untuk melayani proses check-in dan check-out juga dengan kebutuhan Anda lainnya kami siap melayani Anda",9.1,"Istimewa",51,834710,"https://www.pegipegi.com/hotel/jogja/royal_darmo_malioboro_hotel_946719/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3586074,-7.792294,"jl. kemetiran kidul no.54, pringgokusuman, gedong tengen, kota yogyakarta, daerah istimewa yogyakarta 55272, indonesia"
20,"Grand Tjokro Yogyakarta Hotel","Ugm 
 
 
 ","Jl. Gejayan No.37, Yogyakarta","Lokasi sangat strategis dengan akses ke berbagai atraksi seperti Candi Prambanan, Candi Borobudur, dan perbelanjaan distrik dari Jalan Malioboro sangat terkenal. Bandara Internasional Adisucipto juga dapat dicapai hanya dengan 15 menit perjalanan dari Grand Tjokro Hotel. Tinggal di Hotel kami memungkinkan Anda akses mudah ke semua Yogyakarta tidak mater mana Anda berharap untuk pergi.",8.4,"Luar Biasa",78,1487603,"https://www.pegipegi.com/hotel/jogja/grand_tjokro_yogyakarta_964096/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3915304,-7.7669197,"jl. affandi no.37, caturtunggal, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
21,"GQ Hotel Yogyakarta","Adisucipto Airport 
 
 
 ","Jl. Adisucipto No.48, Yogyakarta","Hotel Grand Quality Yogyakarta mudah dicapai dari tempat-tempat menarik seperti Lapangan Golf Cangkringan Merapi, Candi Prambanan, Malioboro, dan Kraton Yogyakarta. Penginapan yang luas ini mencakup 192 kamar, restoran internasional, kedai kopi, pub, spa, kolam renang outdoor, ballroom, ruang pertemuan / ruang rapat dan pusat bisnis.",8.8,"Luar Biasa",47,598347,"https://www.pegipegi.com/hotel/jogja/gq_hotel_yogyakarta_jogja_976952/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4235089,-7.7826419,"jl. laksda adisucipto no.48, maguwoharjo, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
22,"Grand Puri Saron Boutique Hotel","Malioboro 
 
 
 ","Jl. Sosrowijayan No.70, Sosromenduran, Gedongtengen, Malioboro, Yogyakarta, Indonesia","Sebuah hunian yang nyaman, bersih, dan desain yang minimalis. Grand Puri Saron Boutique Hotel Yogyakarta menawarkan pelayanan yang istimewa dan fasilitas yang akan membuat pengalaman menginap Anda tidak terlupakan, seperti Wi-Fi gratis di semua kamar, TV, AC, restoran, layanan kebersihan, resepsionis yang ramah, Wi-fi di tempat umum, serta beberapa fasilitas yang lainnya.",7.6,"Sangat Baik",2,2975207,"https://www.pegipegi.com/hotel/jogja/grand_puri_saron_yogyakarta_902092/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
23,"Jambuluwuk Malioboro Hotel","Pakualaman 
 
 
 ","Jl. Gajah Mada No.67, Yogyakarta","Terletak strategis di jantung kota tua bersejarah di Yogyakarta, sebuah hotel butik, sangat cocok untuk pelancong bisnis maupun rekreasi. Anda dapat berjalan kaki 10 menit ke Malioboro, pasar tradisional Beringharjo dan dekat Keraton Yogyakarta",8.7,"Luar Biasa",45,977272,"https://www.pegipegi.com/hotel/jogja/jambuluwuk_malioboro_hotel_jogja_935905/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3727953,-7.7981358,"jl. gajahmada no.67, purwokinanti, pakualaman, kota yogyakarta, daerah istimewa yogyakarta 55166, indonesia"
24,"Joglo Plawang International Boutique","Kaliurang 
 
 
 ","Jl. Raya Pakem Turi KM 5, Karanggawang, Sleman, Yogyakarta, Indonesia","Ketika Anda mengunjungi Yogyakarta, menghabiskan waktu Anda di kesenangan dengan Joglo Plawang International Boutique. Menampilkan rumah kayu ratus tahun dan beberapa perabotan antik, hotel butik bintang 4 ini menawarkan Anda akomodasi yang luas didekorasi dengan gaya tradisional Jawa. Setiap kamar dan vila memancarkan getaran megah namun juga hangat dan nyaman.",8.7,"Luar Biasa",12,449587,"https://www.pegipegi.com/hotel/jogja/joglo_plawang_jogja_993485/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.382925,-7.646434,"jl. pakem turi km 5, girikerto, turi, girikerto, sleman, kabupaten sleman, daerah istimewa yogyakarta 55551, indonesia"
25,"Villa Banjoe","Sleman 
 
 
 ","Jl Paingan VII No 103 Maguwoharjo, Depok, Sleman , Yogyakarta, Indonesia","Villa Banjoe adalah property bintang 4 yang mempunyai akses mudah ke tempat menarik di Sleman, seperti Candi Kalasan dan Sumur Gumuling. Villa yang menarik dan modern yang cocok untuk tamu yang berwisata bersama keluarga ataupun perusahaan.",8.7,"Luar Biasa",1,1900826,"https://www.pegipegi.com/hotel/jogja/villa_banjoe_jogja_995502/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4240393,-7.7562379,"jl. paingan 7 no.103, maguwoharjo, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
26,"Kalya Hotel Yogyakarta","Kota Gede 
 
 
 ","Jl. Gedongkuning Selatan No.118, Kota Gede, Yogyakarta, Indonesia","Tempat yang baik dekat dengan pusat perbelanjaan, restoran, dan kawasan bisnis Kalya Hotel Yogyakarta menyediakan tempat yang kondusif bagi Anda untuk istirahat dari hari sibuk Anda. Dekat dari pusat kota, lokasi yang strategis akomodasi ini memastikan para tamu dapat dengan mudah mencapai tempat-tempat menarik. Akomodasi ini menawarkan akses mudah ke destinasi yang wajib dikunjungi di kota ini.",8.7,"Luar Biasa",38,628099,"https://www.pegipegi.com/hotel/jogja/tune_hotel_yogyakarta_918558/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
27,"Villa Padi Cangkringan","Sleman 
 
 
 ","Cangkringan Km 2.5, Pusmalang, Wukirsari, Cangkringan, Sleman, Yogyakarta, Indonesia","Terletak di Cangkringan, Sleman, Villa Padi Cangkringan menawarkan semua jenis wisatawan dengan pelayanan yang ramah dan fasilitas modern. Kami menjamin masa menginap yang menyenangkan bagi para tamu dengan layanan kami yang personal dan berbagai macam fasilitas modern yang tersedia di hotel kami.",8.7,"Luar Biasa",5,14462810,"https://www.pegipegi.com/hotel/jogja/villa_padi_cangkringan_998123/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
28,"Crystal Lotus Hotel By Prabhu","Sleman 
 
 
 ","Jl. Magelang KM 5,2, Sinduadi, Yogyakarta, Indonesia","Terletak di dekat Universitas Gajah Mada, Crystal Lotus Hotel By Prabhu menyediakan pelayanan yang ramah dan fasilitas modern. Kami menjamin masa menginap yang menyenangkan bagi para tamu dengan layanan kami yang personal dan berbagai macam fasilitas modern yang tersedia di hotel kami.",8.3,"Luar Biasa",65,726441,"https://www.pegipegi.com/hotel/jogja/crystal_lotus_hotel_jogja_998606/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3623945,-7.7594241,"jalan magelang km.5,2, sinduadi, mlati, kabupaten sleman, daerah istimewa yogyakarta 55284, indonesia"
29,"Hotel Dermaga Keluarga Sonosewu","Wirobrajan 
 
 
 ","Jl. Sonosewu Baru 470 Ambarbinangun, Yogyakarta, Indonesia","Dermaga Keluarga Hotel Sonosewu adalah sebuah akomodasi budget yang menyediakan berbagai jenis kamar yang dirancang khusus untuk kebutuhan akomodasi anda terhadap anggaran Anda. kami memiliki junior suite dan kamar standar untuk lebih privasi. Tempat yang sempurna untuk kegiatan anda.",9,"Luar Biasa",21,537190,"https://www.pegipegi.com/hotel/jogja/dermaga_keluarga_hotel_jogja_986282/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3392626,-7.8086253,"jl.sonosewu baru no.470 ambarbinangun, jl. ambarbinangun, ngestiharjo, kasihan, bantul, daerah istimewa yogyakarta 55184, indonesia"
30,"Cavinton Hotel Yogyakarta by Tritama Hospitality","Wirobrajan 
 
 
 ","Jl. Letjend Suprapto No.1, Ngampilan, Wirobrajan, Yogyakarta, Indonesia","Cavinton Hotel terletak di Yogyakarta yang semarak. Fasilitas dan pelayanan yang ditawarkan Cavinton Hotel menjamin masa menginap yang menyenangkan bagi para tamu. Hotel ini menyediakan akses ke sejumlah pelayanan dan fasilitas terbaik yang akan memuaskan segala kebutuhan tamu.",8.8,"Luar Biasa",34,1053821,"https://www.pegipegi.com/hotel/jogja/cavinton_hotel_yogyakarta_949270/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
